# Logfile created on 2019-04-02 18:19:56 +0300 by logger.rb/66358
I, [2019-04-02T18:19:56.071445 #37836]  INFO -- : (0.001680s) PRAGMA foreign_keys = 1
I, [2019-04-02T18:22:36.955434 #38284]  INFO -- : (0.003736s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''test'' occur more frequently in the ''classes''?', `answer` = 'order_as_specified', `our` = 'order_as_specified', `left` = 'order_as_specified', `right` = 'knife-block', `timestamp` = '2019-04-02 18:22:36.607058', `session_id` = 607 WHERE (`id` = 11)
I, [2019-04-02T18:22:36.955860 #38284]  INFO -- : (0.000236s) SELECT * FROM `tasks` WHERE (`id` = 11) LIMIT 1
I, [2019-04-02T18:22:39.134191 #38284]  INFO -- : (0.006418s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''rule'' occur more frequently in the ''classes''?', NULL, NULL, 'serverspec-extended-types', 'tuersteher', '2019-04-02 18:22:39.119563', 607)
I, [2019-04-02T18:22:39.189903 #38284]  INFO -- : (0.002288s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''rule'' occur more frequently in the ''classes''?', `answer` = NULL, `our` = 'serverspec-extended-types', `left` = 'serverspec-extended-types', `right` = 'tuersteher', `timestamp` = '2019-04-02 18:22:39.119563', `session_id` = 607 WHERE (`id` = 12)
I, [2019-04-02T18:22:39.190245 #38284]  INFO -- : (0.000202s) SELECT * FROM `tasks` WHERE (`id` = 12) LIMIT 1
I, [2019-04-02T18:22:39.470472 #38284]  INFO -- : (0.007022s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''rule'' occur more frequently in the ''classes''?', `answer` = 'serverspec-extended-types', `our` = 'serverspec-extended-types', `left` = 'serverspec-extended-types', `right` = 'tuersteher', `timestamp` = '2019-04-02 18:22:39.119563', `session_id` = 607 WHERE (`id` = 12)
I, [2019-04-02T18:22:39.471072 #38284]  INFO -- : (0.000314s) SELECT * FROM `tasks` WHERE (`id` = 12) LIMIT 1
I, [2019-04-02T18:22:41.638983 #38284]  INFO -- : (0.000774s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''log'' occur more frequently in the ''classes''?', NULL, NULL, 'c2dm', 'sms-logparser', '2019-04-02 18:22:41.630497', 607)
I, [2019-04-02T18:22:41.692521 #38284]  INFO -- : (0.002274s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''log'' occur more frequently in the ''classes''?', `answer` = NULL, `our` = 'c2dm', `left` = 'c2dm', `right` = 'sms-logparser', `timestamp` = '2019-04-02 18:22:41.630497', `session_id` = 607 WHERE (`id` = 13)
I, [2019-04-02T18:22:41.692814 #38284]  INFO -- : (0.000177s) SELECT * FROM `tasks` WHERE (`id` = 13) LIMIT 1
I, [2019-04-02T18:22:41.973997 #38284]  INFO -- : (0.006866s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''log'' occur more frequently in the ''classes''?', `answer` = 'c2dm', `our` = 'c2dm', `left` = 'c2dm', `right` = 'sms-logparser', `timestamp` = '2019-04-02 18:22:41.630497', `session_id` = 607 WHERE (`id` = 13)
I, [2019-04-02T18:22:41.974458 #38284]  INFO -- : (0.000244s) SELECT * FROM `tasks` WHERE (`id` = 13) LIMIT 1
I, [2019-04-02T18:22:44.162088 #38284]  INFO -- : (0.007334s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''test'' occur more frequently in the ''classes''?', NULL, NULL, 'simplecov-json', 'retina_rails', '2019-04-02 18:22:44.142098', 607)
I, [2019-04-02T18:22:44.222933 #38284]  INFO -- : (0.002573s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''test'' occur more frequently in the ''classes''?', `answer` = NULL, `our` = 'simplecov-json', `left` = 'simplecov-json', `right` = 'retina_rails', `timestamp` = '2019-04-02 18:22:44.142098', `session_id` = 607 WHERE (`id` = 14)
I, [2019-04-02T18:22:44.223238 #38284]  INFO -- : (0.000174s) SELECT * FROM `tasks` WHERE (`id` = 14) LIMIT 1
I, [2019-04-02T18:22:44.494637 #38284]  INFO -- : (0.001011s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''test'' occur more frequently in the ''classes''?', `answer` = 'simplecov-json', `our` = 'simplecov-json', `left` = 'simplecov-json', `right` = 'retina_rails', `timestamp` = '2019-04-02 18:22:44.142098', `session_id` = 607 WHERE (`id` = 14)
I, [2019-04-02T18:22:44.494956 #38284]  INFO -- : (0.000175s) SELECT * FROM `tasks` WHERE (`id` = 14) LIMIT 1
I, [2019-04-02T18:22:46.657869 #38284]  INFO -- : (0.006146s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''string'' occur more frequently in the ''methods''?', NULL, NULL, 'simple_pid', 'bad_word_detector', '2019-04-02 18:22:46.643872', 607)
I, [2019-04-02T18:22:46.713828 #38284]  INFO -- : (0.002310s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''string'' occur more frequently in the ''methods''?', `answer` = NULL, `our` = 'simple_pid', `left` = 'simple_pid', `right` = 'bad_word_detector', `timestamp` = '2019-04-02 18:22:46.643872', `session_id` = 607 WHERE (`id` = 15)
I, [2019-04-02T18:22:46.714131 #38284]  INFO -- : (0.000173s) SELECT * FROM `tasks` WHERE (`id` = 15) LIMIT 1
I, [2019-04-02T18:22:46.991942 #38284]  INFO -- : (0.006045s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''string'' occur more frequently in the ''methods''?', `answer` = 'simple_pid', `our` = 'simple_pid', `left` = 'simple_pid', `right` = 'bad_word_detector', `timestamp` = '2019-04-02 18:22:46.643872', `session_id` = 607 WHERE (`id` = 15)
I, [2019-04-02T18:22:46.992236 #38284]  INFO -- : (0.000167s) SELECT * FROM `tasks` WHERE (`id` = 15) LIMIT 1
I, [2019-04-02T18:22:49.169742 #38284]  INFO -- : (0.014948s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''cert'' occur more frequently in the ''methods''?', NULL, NULL, 'render_csv', 'easyrsa', '2019-04-02 18:22:49.146550', 607)
I, [2019-04-02T18:22:49.239564 #38284]  INFO -- : (0.014638s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''cert'' occur more frequently in the ''methods''?', `answer` = NULL, `our` = 'render_csv', `left` = 'render_csv', `right` = 'easyrsa', `timestamp` = '2019-04-02 18:22:49.146550', `session_id` = 607 WHERE (`id` = 16)
I, [2019-04-02T18:22:49.239909 #38284]  INFO -- : (0.000192s) SELECT * FROM `tasks` WHERE (`id` = 16) LIMIT 1
I, [2019-04-02T18:22:49.509883 #38284]  INFO -- : (0.006252s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''cert'' occur more frequently in the ''methods''?', `answer` = 'render_csv', `our` = 'render_csv', `left` = 'render_csv', `right` = 'easyrsa', `timestamp` = '2019-04-02 18:22:49.146550', `session_id` = 607 WHERE (`id` = 16)
I, [2019-04-02T18:22:49.510228 #38284]  INFO -- : (0.000189s) SELECT * FROM `tasks` WHERE (`id` = 16) LIMIT 1
I, [2019-04-02T18:22:51.685266 #38284]  INFO -- : (0.006349s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''base'' occur more frequently in the ''methods''?', NULL, NULL, 'xdg', 'formtastic', '2019-04-02 18:22:51.668500', 607)
I, [2019-04-02T18:22:51.744305 #38284]  INFO -- : (0.002286s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''base'' occur more frequently in the ''methods''?', `answer` = NULL, `our` = 'xdg', `left` = 'xdg', `right` = 'formtastic', `timestamp` = '2019-04-02 18:22:51.668500', `session_id` = 607 WHERE (`id` = 17)
I, [2019-04-02T18:22:51.744632 #38284]  INFO -- : (0.000180s) SELECT * FROM `tasks` WHERE (`id` = 17) LIMIT 1
I, [2019-04-02T18:22:52.016852 #38284]  INFO -- : (0.004504s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''base'' occur more frequently in the ''methods''?', `answer` = 'xdg', `our` = 'xdg', `left` = 'xdg', `right` = 'formtastic', `timestamp` = '2019-04-02 18:22:51.668500', `session_id` = 607 WHERE (`id` = 17)
I, [2019-04-02T18:22:52.017206 #38284]  INFO -- : (0.000189s) SELECT * FROM `tasks` WHERE (`id` = 17) LIMIT 1
I, [2019-04-02T18:22:54.206808 #38284]  INFO -- : (0.014800s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''symbol'' occur more frequently in the ''methods''?', NULL, NULL, 'sax-machine', 'idiom', '2019-04-02 18:22:54.181291', 607)
I, [2019-04-02T18:22:54.269635 #38284]  INFO -- : (0.002366s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''symbol'' occur more frequently in the ''methods''?', `answer` = NULL, `our` = 'sax-machine', `left` = 'sax-machine', `right` = 'idiom', `timestamp` = '2019-04-02 18:22:54.181291', `session_id` = 607 WHERE (`id` = 18)
I, [2019-04-02T18:22:54.269957 #38284]  INFO -- : (0.000182s) SELECT * FROM `tasks` WHERE (`id` = 18) LIMIT 1
I, [2019-04-02T18:22:54.578892 #38284]  INFO -- : (0.002150s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''symbol'' occur more frequently in the ''methods''?', `answer` = 'sax-machine', `our` = 'sax-machine', `left` = 'sax-machine', `right` = 'idiom', `timestamp` = '2019-04-02 18:22:54.181291', `session_id` = 607 WHERE (`id` = 18)
I, [2019-04-02T18:22:54.579465 #38284]  INFO -- : (0.000315s) SELECT * FROM `tasks` WHERE (`id` = 18) LIMIT 1
I, [2019-04-02T18:22:56.742754 #38284]  INFO -- : (0.006039s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''array'' occur more frequently in the ''methods''?', NULL, NULL, 'action_smser', 'kontena-cli', '2019-04-02 18:22:56.728234', 607)
I, [2019-04-02T18:22:56.797104 #38284]  INFO -- : (0.002429s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''array'' occur more frequently in the ''methods''?', `answer` = NULL, `our` = 'action_smser', `left` = 'action_smser', `right` = 'kontena-cli', `timestamp` = '2019-04-02 18:22:56.728234', `session_id` = 607 WHERE (`id` = 19)
I, [2019-04-02T18:22:56.797442 #38284]  INFO -- : (0.000193s) SELECT * FROM `tasks` WHERE (`id` = 19) LIMIT 1
I, [2019-04-02T18:22:57.071366 #38284]  INFO -- : (0.006050s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''array'' occur more frequently in the ''methods''?', `answer` = 'action_smser', `our` = 'action_smser', `left` = 'action_smser', `right` = 'kontena-cli', `timestamp` = '2019-04-02 18:22:56.728234', `session_id` = 607 WHERE (`id` = 19)
I, [2019-04-02T18:22:57.071689 #38284]  INFO -- : (0.000179s) SELECT * FROM `tasks` WHERE (`id` = 19) LIMIT 1
I, [2019-04-02T18:22:59.244721 #38284]  INFO -- : (0.014727s) INSERT INTO `tasks` (`id`, `title`, `answer`, `our`, `left`, `right`, `timestamp`, `session_id`) VALUES (NULL, 'In which gems of two, does the word ''locked'' occur more frequently in the ''variables''?', NULL, NULL, 'imagine_cms', 'sidekiq-superworker', '2019-04-02 18:22:59.220531', 607)
I, [2019-04-02T18:22:59.311333 #38284]  INFO -- : (0.003629s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''locked'' occur more frequently in the ''variables''?', `answer` = NULL, `our` = 'imagine_cms', `left` = 'imagine_cms', `right` = 'sidekiq-superworker', `timestamp` = '2019-04-02 18:22:59.220531', `session_id` = 607 WHERE (`id` = 20)
I, [2019-04-02T18:22:59.311736 #38284]  INFO -- : (0.000211s) SELECT * FROM `tasks` WHERE (`id` = 20) LIMIT 1
I, [2019-04-02T18:22:59.576546 #38284]  INFO -- : (0.002250s) UPDATE `tasks` SET `title` = 'In which gems of two, does the word ''locked'' occur more frequently in the ''variables''?', `answer` = 'imagine_cms', `our` = 'imagine_cms', `left` = 'imagine_cms', `right` = 'sidekiq-superworker', `timestamp` = '2019-04-02 18:22:59.220531', `session_id` = 607 WHERE (`id` = 20)
I, [2019-04-02T18:22:59.576869 #38284]  INFO -- : (0.000179s) SELECT * FROM `tasks` WHERE (`id` = 20) LIMIT 1
